Rowid,VALUE *,COUNT,FOR_CATEGORY,FOR_TYPE,FOR_CODE,COVER_CODE,HT_CODE,FOREST,STATE,FOR_SOURCE
0,1,121022073,Non-forest,Non-forest,0,6,6,0,Qld, 
1,2,5875,Non-forest,Non-forest,0,6,6,0, , 
2,3,17703,Native forest,Mangrove,63,3,2,1,Qld,Global Mangroves
3,4,335,Native forest,Mangrove,61,1,2,1,Qld,Global Mangroves
4,5,16724,Native forest,Rainforest,98,3,2,1,Qld,NVIS 6.0
5,6,4555,Native forest,Rainforest,96,3,1,1,Qld,NVIS 6.0
6,7,36033,Native forest,Acacia,5,2,2,1,Qld,NVIS 6.0
7,8,20070,Native forest,Casuarina,29,2,2,1,Qld,NVIS 6.0
8,9,3363,Native forest,Mangrove,60,3,1,1,Qld,Global Mangroves
9,10,16036,Native forest,Mangrove,59,2,1,1,Qld,Global Mangroves
10,11,659859,Native forest,Eucalypt Low Woodland,40,1,1,1,Qld,NVIS 6.0
11,12,66291,Native forest,Mangrove,58,1,1,1,Qld,Global Mangroves
12,13,824759,Native forest,Rainforest,97,2,2,1,Qld,Aus_For18
13,14,75450,Native forest,Rainforest,96,3,1,1,Qld,Aus_For18
14,15,606229,Native forest,Rainforest,98,3,2,1,Qld,Aus_For18
15,16,3704,Native forest,Mangrove,63,3,2,1,Qld,Aus_For18
16,17,4432714,Native forest,Eucalypt Medium Woodland,41,1,2,1,Qld,NVIS 6.0
17,18,185,Native forest,Mangrove,63,3,2,1,Qld,NVIS 6.0
18,19,23612574,Native forest,Eucalypt Medium Woodland,41,1,2,1,Qld,Aus_For18
19,20,788584,Native forest,Melaleuca,64,1,1,1,Qld,Aus_For18
20,21,49683,Native forest,Melaleuca,68,2,2,1,Qld,NVIS 6.0
21,22,106356,Native forest,Other native forest,73,1,1,1,Qld,NVIS 6.0
22,23,2289,Native forest,Mangrove,61,1,2,1,Qld,NVIS 6.0
23,24,1631,Native forest,Mangrove,62,2,2,1,Qld,NVIS 6.0
24,25,190807,Native forest,Mangrove,58,1,1,1,Qld,Aus_For18
25,26,431134,Native forest,Melaleuca,64,1,1,1,Qld,NVIS 6.0
26,27,748,Native forest,Mangrove,61,1,2,1,Qld,Aus_For18
27,28,1380998,Native forest,Eucalypt Medium Open,44,2,2,1,Qld,NVIS 6.0
28,29,24424,Native forest,Rainforest,97,2,2,1,Qld,NVIS 6.0
29,30,222156,Native forest,Melaleuca,68,2,2,1,Qld,Aus_For18
30,31,2167657,Native forest,Eucalypt Medium Open,44,2,2,1,Qld,Aus_For18
31,32,260176,Native forest,Other native forest,73,1,1,1,Qld,Aus_For18
32,33,76791,Native forest,Rainforest,24,1,1,1,Qld,Aus_For18
33,34,130078,Native forest,Acacia,2,1,2,1,Qld,NVIS 6.0
34,35,6176,Native forest,Mangrove,58,1,1,1,Qld,NVIS 6.0
35,36,78441,Native forest,Mangrove,59,2,1,1,Qld,Aus_For18
36,37,242,Native forest,Other native forest,74,2,1,1,Qld,NVIS 6.0
37,38,72169,Native forest,Acacia,5,2,2,1,Qld,Aus_For18
38,39,60,Native forest,Melaleuca,71,2,3,1,Qld,NVIS 6.0
39,40,60340,Native forest,Other native forest,77,2,2,1,Qld,NVIS 6.0
40,41,1732,Native forest,Mangrove,59,2,1,1,Qld,NVIS 6.0
41,42,18053,Native forest,Other native forest,77,2,2,1,Qld,Aus_For18
42,43,3276,Non-forest,Non-forest,0,6,6,0,Qld,CLUM
43,44,128,Native forest,Melaleuca,71,2,3,1,Qld,Aus_For18
44,45,4086,Native forest,Rainforest,24,1,1,1,Qld,NVIS 6.0
45,46,3128,Native forest,Mangrove,62,2,2,1,Qld,Global Mangroves
46,47,130803,Native forest,Rainforest,94,1,2,1,Qld,Aus_For18
47,48,2744853,Native forest,Melaleuca,65,2,1,1,Qld,Aus_For18
48,49,734,Native forest,Mangrove,60,3,1,1,Qld,NVIS 6.0
49,50,111503668,Non-forest,Non-forest,0,6,6,0,NT, 
50,51,97364,Native forest,Other native forest,18,5,5,1,NT,Aus_For18
51,52,85040,Native forest,Mangrove,60,3,1,1,NT,Aus_For18
52,53,10288,Native forest,Other native forest,18,5,5,1,NT,NVIS 6.0
53,54,114328,Native forest,Rainforest,97,2,2,1,NT,Aus_For18
54,55,2746,Native forest,Rainforest,94,1,2,1,NT,Aus_For18
55,56,77350,Native forest,Mangrove,59,2,1,1,NT,Aus_For18
56,57,23816,Native forest,Casuarina,28,1,2,1,NT,Aus_For18
57,58,132464,Native forest,Rainforest,98,3,2,1,NT,Aus_For18
58,59,171512,Native forest,Mangrove,63,3,2,1,NT,Aus_For18
59,60,550,Native forest,Rainforest,98,3,2,1,NT,NVIS 6.0
60,61,36727,Native forest,Mangrove,15,5,5,1,NT,Global Mangroves
61,62,30519,Native forest,Casuarina,28,1,2,1,Qld,Aus_For18
62,63,2678,Native forest,Mangrove,60,3,1,1,NT,Global Mangroves
63,64,85,Native forest,Rainforest,94,1,2,1,NT,NVIS 6.0
64,65,1819708,Native forest,Acacia,2,1,2,1,Qld,Aus_For18
65,66,11315,Native forest,Casuarina,28,1,2,1,Qld,NVIS 6.0
66,67,1232839,Native forest,Other native forest,18,5,5,1,Qld,Aus_For18
67,68,2349084,Native forest,Acacia,1,1,1,1,Qld,Aus_For18
68,69,5657848,Native forest,Eucalypt Medium Open,44,2,2,1,NT,Aus_For18
69,70,219297,Native forest,Melaleuca,68,2,2,1,NT,Aus_For18
70,71,9074952,Native forest,Eucalypt Medium Woodland,41,1,2,1,NT,Aus_For18
71,72,439,Native forest,Mangrove,58,1,1,1,NT,Aus_For18
72,73,89429,Native forest,Eucalypt Medium Open,44,2,2,1,NT,NVIS 6.0
73,74,3688979,Native forest,Eucalypt Low Woodland,40,1,1,1,NT,Aus_For18
74,75,623102,Native forest,Eucalypt Low Open,43,2,1,1,NT,Aus_For18
75,76,33451,Native forest,Eucalypt Low Open,43,2,1,1,NT,NVIS 6.0
76,77,527104,Native forest,Melaleuca,64,1,1,1,NT,Aus_For18
77,78,10213,Native forest,Melaleuca,64,1,1,1,NT,NVIS 6.0
78,79,59149,Native forest,Eucalypt Medium Woodland,41,1,2,1,NT,NVIS 6.0
79,80,167612,Native forest,Melaleuca,67,1,2,1,NT,Aus_For18
80,81,322005,Native forest,Acacia,1,1,1,1,Qld,NVIS 6.0
81,82,177898,Native forest,Eucalypt Low Woodland,40,1,1,1,NT,NVIS 6.0
82,83,55600,Native forest,Casuarina,25,1,1,1,Qld,NVIS 6.0
83,84,248,Native forest,Other native forest,84,3,1,1,NT,Aus_For18
84,85,21,Native forest,Mangrove,63,3,2,1,NT,NVIS 6.0
85,86,36,Native forest,Mangrove,60,3,1,1,NT,NVIS 6.0
86,87,24787,Native forest,Casuarina,25,1,1,1,Qld,Aus_For18
87,88,1814,Native forest,Mangrove,63,3,2,1,NT,Global Mangroves
88,89,13719,Native forest,Mangrove,15,5,5,1,NT,NVIS 6.0
89,90,43800,Native forest,Other native forest,74,2,1,1,NT,NVIS 6.0
90,91,92091,Native forest,Other native forest,73,1,1,1,NT,NVIS 6.0
91,92,44741,Commercial plantation,Hardwood plantation,91,4,4,1,NT,NPI spatial
92,93,911,Native forest,Rainforest,97,2,2,1,NT,NVIS 6.0
93,94,1686,Native forest,Melaleuca,68,2,2,1,NT,NVIS 6.0
94,95,1827,Native forest,Mangrove,59,2,1,1,NT,Global Mangroves
95,96,2372,Native forest,Melaleuca,67,1,2,1,NT,NVIS 6.0
96,97,99,Native forest,Mangrove,59,2,1,1,NT,NVIS 6.0
97,98,322164,Native forest,Melaleuca,65,2,1,1,Qld,NVIS 6.0
98,99,1910,Commercial plantation,Softwood plantation,92,4,4,1,NT,NPI spatial
99,100,62942,Native forest,Other native forest,84,3,1,1,Qld,Aus_For18
100,101,413517,Native forest,Acacia,4,2,1,1,NT,Aus_For18
101,102,537861,Native forest,Acacia,1,1,1,1,NT,Aus_For18
102,103,90180,Native forest,Melaleuca,65,2,1,1,NT,Aus_For18
103,104,993,Native forest,Acacia,4,2,1,1,NT,NVIS 6.0
104,105,442,Native forest,Melaleuca,65,2,1,1,NT,NVIS 6.0
105,106,102643,Native forest,Acacia,1,1,1,1,NT,NVIS 6.0
106,107,4367,Native forest,Other native forest,74,2,1,1,NT,Aus_For18
107,108,5853,Native forest,Casuarina,29,2,2,1,NT,Aus_For18
108,109,305,Native forest,Mangrove,58,1,1,1,NT,Global Mangroves
109,110,40,Native forest,Other native forest,84,3,1,1,NT,NVIS 6.0
110,111,425545,Native forest,Other native forest,73,1,1,1,NT,Aus_For18
111,112,3565,Native forest,Eucalypt Medium Closed,47,3,2,1,NT,Aus_For18
112,113,251,Native forest,Casuarina,28,1,2,1,NT,NVIS 6.0
113,114,1928,Native forest,Other native forest,74,2,1,1,Qld,Aus_For18
114,115,8,Native forest,Mangrove,58,1,1,1,NT,NVIS 6.0
115,116,688,Non-forest,Non-forest,0,6,6,0,NT,CLUM
116,117,19,Native forest,Casuarina,29,2,2,1,NT,NVIS 6.0
117,118,111670,Native forest,Other native forest,10,3,2,1,Qld,NVIS 6.0
118,119,23246,Native forest,Acacia,3,1,3,1,Qld,NVIS 6.0
119,120,42607,Native forest,Mangrove,62,2,2,1,Qld,Aus_For18
120,121,1912009,Native forest,Eucalypt Tall Woodland,42,1,3,1,Qld,NVIS 6.0
121,122,375084,Native forest,Acacia,2,1,2,1,NT,Aus_For18
122,123,376830,Native forest,Melaleuca,67,1,2,1,Qld,NVIS 6.0
123,124,938014,Native forest,Melaleuca,67,1,2,1,Qld,Aus_For18
124,125,11,Native forest,Eucalypt Medium Closed,47,3,2,1,NT,NVIS 6.0
125,126,784,Native forest,Acacia,2,1,2,1,NT,NVIS 6.0
126,127,231772339,Non-forest,Non-forest,0,6,6,0,WA, 
127,128,1087848,Native forest,Eucalypt Low Woodland,40,1,1,1,WA,Aus_For18
128,129,6338956,Native forest,Eucalypt Medium Woodland,41,1,2,1,WA,Aus_For18
129,130,3313011,Native forest,Eucalypt Medium Woodland,41,1,2,1,WA,NVIS 6.0
130,131,103531,Native forest,Mangrove,59,2,1,1,WA,Aus_For18
131,132,45455,Native forest,Mangrove,15,5,5,1,WA,Global Mangroves
132,133,19024,Native forest,Eucalypt Low Woodland,40,1,1,1,WA,NVIS 6.0
133,134,12900,Native forest,Other native forest,18,5,5,1,WA,Aus_For18
134,135,39896,Native forest,Other native forest,74,2,1,1,WA,Aus_For18
135,136,40546,Other forest,Other forest - unallocated type,90,5,5,1,WA,NVIS 6.0
136,137,2068,Native forest,Mangrove,61,1,2,1,WA,NVIS 6.0
137,138,1461749,Native forest,Eucalypt Medium Open,44,2,2,1,WA,Aus_For18
138,139,17608,Native forest,Mangrove,15,5,5,1,WA,NVIS 6.0
139,140,7419,Native forest,Mangrove,63,3,2,1,WA,Aus_For18
140,141,955,Native forest,Mangrove,62,2,2,1,WA,Aus_For18
141,142,3215,Other forest,Other forest - unallocated type,102,5,5,1,NT,NT_CLUM
142,143,1721,Native forest,Mangrove,58,1,1,1,WA,NVIS 6.0
143,144,17,Native forest,Mangrove,63,3,2,1,WA,NVIS 6.0
144,145,558,Other forest,Other forest - unallocated type,102,5,5,1,NT,NT_CLUM
145,146,3172,Native forest,Mangrove,58,1,1,1,WA,Aus_For18
146,147,29,Other forest,Other forest - unallocated type,102,5,5,1,NT,NT_CLUM
147,148,797,Other forest,Other forest - unallocated type,102,5,5,1,NT,NT_CLUM
148,149,9856,Native forest,Mangrove,59,2,1,1,WA,Global Mangroves
149,150,238,Native forest,Eucalypt Medium Closed,47,3,2,1,WA,Aus_For18
150,151,77653,Native forest,Eucalypt Low Open,43,2,1,1,WA,Aus_For18
151,152,156,Native forest,Rainforest,95,2,1,1,WA,Aus_For18
152,153,5117,Native forest,Eucalypt Low Closed,46,3,1,1,WA,Aus_For18
153,154,41,Native forest,Rainforest,100,3,3,1,WA,Aus_For18
154,155,1793,Native forest,Other native forest,74,2,1,1,WA,NVIS 6.0
155,156,2042,Native forest,Mangrove,59,2,1,1,WA,NVIS 6.0
156,157,93636,Native forest,Other native forest,76,1,2,1,Qld,NVIS 6.0
157,158,163442,Non-forest,Non-forest,0,6,6,0,WA,CLUM
158,159,745838,Native forest,Eucalypt Low Woodland,40,1,1,1,Qld,Aus_For18
159,160,7,Native forest,Mangrove,62,2,2,1,WA,NVIS 6.0
160,161,85067,Native forest,Acacia,4,2,1,1,Qld,Aus_For18
161,162,214461,Native forest,Other native forest,76,1,2,1,Qld,Aus_For18
162,163,1,Other forest,Other forest - unallocated type,102,5,5,1,NT,NT_CLUM
163,164,24174,Native forest,Rainforest,94,1,2,1,Qld,NVIS 6.0
164,165,3210194,Native forest,Acacia,1,1,1,1,WA,Aus_For18
165,166,1672,Other forest,Other forest - unallocated type,102,5,5,1,NT,NT_CLUM
166,167,23,Other forest,Other forest - unallocated type,102,5,5,1,NT,NT_CLUM
167,168,31891,Native forest,Eucalypt Low Open,43,2,1,1,Qld,Aus_For18
168,169,57204,Native forest,Mangrove,60,3,1,1,Qld,Aus_For18
169,170,741,Native forest,Eucalypt Low Closed,46,3,1,1,NT,Aus_For18
170,171,19297,Native forest,Other native forest,73,1,1,1,WA,NVIS 6.0
171,172,219418,Native forest,Other native forest,73,1,1,1,WA,Aus_For18
172,173,1623,Native forest,Mangrove,58,1,1,1,WA,Global Mangroves
173,174,29881,Native forest,Other native forest,76,1,2,1,NT,NVIS 6.0
174,175,202299,Commercial plantation,Hardwood plantation,91,4,4,1,WA,NPI spatial
175,176,12286,Other forest,Other forest - unallocated type,90,5,5,1,Qld,NVIS 6.0
176,177,1,Other forest,Other forest - unallocated type,89,3,2,1,Qld,NVIS 6.0
177,178,1,Other forest,Other forest - unallocated type,86,2,2,1,Qld,NVIS 6.0
178,179,186509,Native forest,Eucalypt Tall Woodland,42,1,3,1,Qld,Aus_For18
179,180,41000,Native forest,Acacia,5,2,2,1,NT,Aus_For18
180,181,61,Native forest,Acacia,5,2,2,1,NT,NVIS 6.0
181,182,2178,Native forest,Acacia,8,3,2,1,Qld,NVIS 6.0
182,183,4831,Native forest,Acacia,4,2,1,1,Qld,NVIS 6.0
183,184,89461,Native forest,Eucalypt Tall Open,45,2,3,1,Qld,NVIS 6.0
184,185,30144,Native forest,Casuarina,29,2,2,1,Qld,Aus_For18
185,186,2937,Commercial plantation,Mixed species plantation,93,4,4,1,Qld,NPI spatial
186,187,1732,Native forest,Other native forest,84,3,1,1,Qld,NVIS 6.0
187,188,18360,Commercial plantation,Hardwood plantation,91,4,4,1,Qld,NPI spatial
188,189,21606,Native forest,Eucalypt Medium Closed,47,3,2,1,Qld,Aus_For18
189,190,322,Native forest,Melaleuca,69,3,2,1,Qld,NVIS 6.0
190,191,126589,Native forest,Eucalypt Tall Open,45,2,3,1,Qld,Aus_For18
191,192,13618,Native forest,Acacia,8,3,2,1,Qld,Aus_For18
192,193,3,Native forest,Mangrove,60,3,1,1,WA,NVIS 6.0
193,194,138,Native forest,Casuarina,26,2,1,1,Qld,Aus_For18
194,195,104,Native forest,Mangrove,61,1,2,1,WA,Aus_For18
195,196,54,Native forest,Acacia,7,3,1,1,Qld,Aus_For18
196,197,8982,Native forest,Callitris,16,1,1,1,Qld,Aus_For18
197,198,39,Native forest,Acacia,7,3,1,1,Qld,NVIS 6.0
198,199,6465,Native forest,Melaleuca,65,2,1,1,WA,Aus_For18
199,200,1295,Native forest,Melaleuca,65,2,1,1,WA,NVIS 6.0
200,201,128857,Native forest,Acacia,1,1,1,1,WA,NVIS 6.0
201,202,48045,Native forest,Melaleuca,64,1,1,1,WA,Aus_For18
202,203,247,Native forest,Melaleuca,69,3,2,1,Qld,Aus_For18
203,204,192536,Commercial plantation,Softwood plantation,92,4,4,1,Qld,NPI spatial
204,205,20,Native forest,Eucalypt Mallee Woodland,35,1,2,1,Qld,Aus_For18
205,206,28,Native forest,Other native forest,10,3,2,1,Qld,Aus_For18
206,207,593,Native forest,Rainforest,99,2,3,1,Qld,Aus_For18
207,208,3005,Native forest,Acacia,4,2,1,1,WA,Aus_For18
208,209,23482,Native forest,Callitris,17,1,2,1,Qld,NVIS 6.0
209,210,8469,Native forest,Melaleuca,70,1,3,1,Qld,NVIS 6.0
210,211,63812,Native forest,Melaleuca,70,1,3,1,Qld,Aus_For18
211,212,9559,Native forest,Eucalypt Low Closed,46,3,1,1,Qld,Aus_For18
212,213,3307023,Native forest,Eucalypt Mallee Woodland,34,1,1,1,WA,Aus_For18
213,214,270,Native forest,Eucalypt Mallee Woodland,35,1,2,1,Qld,NVIS 6.0
214,215,3778,Native forest,Eucalypt Low Open,43,2,1,1,Qld,NVIS 6.0
215,216,64955,Native forest,Rainforest,95,2,1,1,Qld,Aus_For18
216,217,439,Native forest,Rainforest,95,2,1,1,Qld,NVIS 6.0
217,218,390,Native forest,Rainforest,100,3,3,1,Qld,Aus_For18
218,219,1,Native forest,Rainforest,100,3,3,1,Qld,NVIS 6.0
219,220,82339,Native forest,Casuarina,25,1,1,1,WA,Aus_For18
220,221,132,Native forest,Eucalypt Mallee Woodland,34,1,1,1,NT,NVIS 6.0
221,222,766,Native forest,Callitris,16,1,1,1,Qld,NVIS 6.0
222,223,32586,Native forest,Melaleuca,64,1,1,1,WA,NVIS 6.0
223,224,510274,Native forest,Callitris,17,1,2,1,Qld,Aus_For18
224,225,329719,Native forest,Acacia,3,1,3,1,Qld,Aus_For18
225,226,299,Native forest,Eucalypt Mallee Woodland,34,1,1,1,NT,Aus_For18
226,227,2879,Native forest,Casuarina,30,3,2,1,Qld,Aus_For18
227,228,2128,Native forest,Casuarina,25,1,1,1,NT,Aus_For18
228,229,3,Native forest,Casuarina,30,3,2,1,Qld,NVIS 6.0
229,230,1319,Native forest,Casuarina,25,1,1,1,NT,NVIS 6.0
230,231,907,Native forest,Casuarina,28,1,2,1,WA,Aus_For18
231,232,107,Native forest,Casuarina,28,1,2,1,WA,NVIS 6.0
232,233,2434,Native forest,Casuarina,13,1,5,1,WA,Aus_For18
233,234,93297820,Non-forest,Non-forest,0,6,6,0,SA, 
234,235,118272,Native forest,Eucalypt Low Woodland,40,1,1,1,SA,Aus_For18
